,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Price
0,Charlotte,35.227095,-80.842512,Vapiano,35.226234166101676,-80.84412438023452,Italian Restaurant,2
1,Charlotte,35.227095,-80.842512,Dandelion Market,35.2286559557103,-80.8424793686398,Tapas Restaurant,2
2,Charlotte,35.227095,-80.842512,The Cellar,35.22924,-80.83971,Restaurant,2
3,Charlotte,35.227095,-80.842512,Cowbell Burger & Bar,35.2283706749389,-80.84219607653625,Burger Joint,2
4,Charlotte,35.227095,-80.842512,Coco and the Director,35.22768360609232,-80.84354843212633,Restaurant,2
5,Charlotte,35.227095,-80.842512,Amelie's French Bakery — Uptown,35.22410956146403,-80.8450455877429,Bakery,2
6,Charlotte,35.227095,-80.842512,Aria Tuscan Grill,35.22661542645824,-80.84231735380716,Italian Restaurant,2
7,Charlotte,35.227095,-80.842512,Brixx Wood Fired Pizza,35.22736740413664,-80.8390497687331,Pizza Place,2
8,Charlotte,35.227095,-80.842512,Rí Rá Irish Pub,35.22813441698387,-80.84158201144281,Irish Pub,2
9,Charlotte,35.227095,-80.842512,Queen City Q (The Q),35.227215014729,-80.83872443148526,BBQ Joint,2
10,Charlotte,35.227095,-80.842512,204 North Kitchen & Cocktails,35.22789512014603,-80.84152325155526,American Restaurant,2
11,Charlotte,35.227095,-80.842512,Basil Thai Cuisine,35.228940919235875,-80.84280568291942,Thai Restaurant,2
12,Charlotte,35.227095,-80.842512,Duckworth's Grill & Taphouse,35.22924,-80.83971,Restaurant,2
13,Charlotte,35.227095,-80.842512,Mert’s Heart & Soul Restaurant,35.2273178,-80.84013039999999,Southern / Soul Food Restaurant,2
14,Charlotte,35.227095,-80.842512,Vida Cantina,35.2260107559728,-80.84192020018864,Mexican Restaurant,2
15,Charlotte,35.227095,-80.842512,The King's Kitchen,35.228092986788525,-80.84420634531112,Southern / Soul Food Restaurant,2
16,Charlotte,35.227095,-80.842512,Mellow Mushroom,35.225802,-80.847776,Pizza Place,2
17,Charlotte,35.227095,-80.842512,Room 112,35.227335128656165,-80.84348421841464,Sushi Restaurant,2
18,Charlotte,35.227095,-80.842512,Que Onda Tacos + Tequila,35.22921268469202,-80.84551693572108,Mexican Restaurant,2
19,Charlotte,35.227095,-80.842512,Bonsai Fusion Sushi Bar,35.227512946703584,-80.83796815354799,Sushi Restaurant,2
20,Charlotte,35.227095,-80.842512,Alexander Michael's,35.23365667266636,-80.84075484869258,American Restaurant,2
21,Charlotte,35.227095,-80.842512,Bernardin's,35.22427944240273,-80.84720105085307,American Restaurant,2
22,Charlotte,35.227095,-80.842512,Hasaki Grill & Sushi,35.22557875002771,-80.84818216795017,Japanese Restaurant,2
23,Charlotte,35.227095,-80.842512,Jason's Deli,35.22551448036305,-80.84294314198544,Deli / Bodega,2
24,Charlotte,35.227095,-80.842512,Connolly's On Fifth,35.22780836610191,-80.841680702736,Irish Pub,2
25,Charlotte,35.227095,-80.842512,Chicken Salad Chick,35.226263095531394,-80.8429480667214,Restaurant,2
26,Charlotte,35.227095,-80.842512,Nirvana II,35.22429667991452,-80.84559189101977,Indian Restaurant,2
27,Charlotte,35.227095,-80.842512,Midnight Diner,35.21949061023241,-80.85231789503456,Diner,2
28,Charlotte,35.227095,-80.842512,Queen City Bites and Crafts,35.22589427234826,-80.84673685396436,Hot Dog Joint,2
29,Charlotte,35.227095,-80.842512,Seoul Food Meat Co,35.21923075348493,-80.85747277588837,BBQ Joint,2
30,Charlotte,35.227095,-80.842512,Dilworth Neighborhood Grille,35.21333670068984,-80.84380947097051,American Restaurant,2
31,Charlotte,35.227095,-80.842512,Haymaker,35.22735014019413,-80.84729451144412,American Restaurant,2
32,Charlotte,35.227095,-80.842512,Showmars,35.2248873,-80.843337,Greek Restaurant,2
33,Charlotte,35.227095,-80.842512,Showmars,35.2214196,-80.8393234,Greek Restaurant,2
34,Charlotte,35.227095,-80.842512,Coastal Kitchen,35.22405943597316,-80.8437749711456,American Restaurant,2
35,Charlotte,35.227095,-80.842512,Rai Lay,35.214148965571006,-80.85516547748357,Thai Restaurant,2
36,Charlotte,35.227095,-80.842512,Emzy,35.22460557258418,-80.84908657062867,Asian Restaurant,2
37,Charlotte,35.227095,-80.842512,Futo Buta,35.2154468715687,-80.85540911908598,Noodle House,2
38,Charlotte,35.227095,-80.842512,Intermezzo,35.22202788544003,-80.82169784690419,Pizza Place,2
39,Charlotte,35.227095,-80.842512,JJR's BBQ Shack,35.22579870435361,-80.85284264140151,BBQ Joint,2
40,Charlotte,35.227095,-80.842512,7th District,35.22601686329141,-80.8359529484364,New American Restaurant,2
