,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Price
0,Columbus,39.960189,-82.997523,Hadley's Bar & Kitchen,39.95727167971174,-82.99502053439329,Gastropub,3
1,Columbus,39.960189,-82.997523,Due Amici Restaurant,39.96375935453356,-82.99882086606961,Italian Restaurant,3
2,Columbus,39.960189,-82.997523,Lindey's,39.950775168798245,-82.99377820821616,American Restaurant,3
3,Columbus,39.960189,-82.997523,Martini Modern Italian,39.9714399,-83.0028301,Italian Restaurant,3
4,Columbus,39.960189,-82.997523,The Crest Gastropub,39.951603677789784,-82.98257811091574,Gastropub,3
5,Columbus,39.960189,-82.997523,The Guild House,39.97511026661036,-83.0029585030411,American Restaurant,3
6,Columbus,39.960189,-82.997523,The Pearl,39.97523583504577,-83.00329911468049,Gastropub,3
7,Columbus,39.960189,-82.997523,Hyde Park Prime Steakhouse,39.97399222750721,-83.00298347699382,Steakhouse,3
8,Columbus,39.960189,-82.997523,Buca di Beppo,39.9692942,-83.0042486,Italian Restaurant,3
9,Columbus,39.960189,-82.997523,Barcelona Restaurant & Bar,39.94455959358404,-82.98997723367995,Tapas Restaurant,3
10,Columbus,39.960189,-82.997523,Forno Kitchen & Bar,39.97711686591293,-83.00362518119398,Bistro,3
11,Columbus,39.960189,-82.997523,Rodizio Grill,39.96844456833823,-83.0056584210287,Brazilian Restaurant,3
12,Columbus,39.960189,-82.997523,Black Point,39.97409805117235,-83.00262428741325,Seafood Restaurant,3
13,Columbus,39.960189,-82.997523,Hoof Hearted Brewery & Kitchen,39.98033872501243,-82.99800422215863,Gastropub,3
14,Columbus,39.960189,-82.997523,J Hot Fish,39.96240101139146,-82.97065639065418,Seafood Restaurant,3
