,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Price
0,Detroit,42.336955,-83.052963,The Royce,42.33642778471305,-83.05220024113054,Restaurant,2
1,Detroit,42.336955,-83.052963,Lumen Detroit,42.334593070952664,-83.05506904559303,Restaurant,2
2,Detroit,42.336955,-83.052963,Harry's Detroit,42.33928820258729,-83.05631048927816,American Restaurant,2
3,Detroit,42.336955,-83.052963,Dime Store,42.33103891507928,-83.0477335766095,American Restaurant,2
4,Detroit,42.336955,-83.052963,The Hudson Cafe,42.333515750338535,-83.0483701617381,Café,2
5,Detroit,42.336955,-83.052963,Orchid Thai,42.33357944506881,-83.04521964150345,Thai Restaurant,2
6,Detroit,42.336955,-83.052963,Republic Tavern,42.33506420392624,-83.05507929106291,New American Restaurant,2
7,Detroit,42.336955,-83.052963,San Morello,42.33414456923063,-83.04862767615141,Italian Restaurant,2
8,Detroit,42.336955,-83.052963,Grey Ghost Detroit,42.34514018277733,-83.05556851890546,American Restaurant,2
9,Detroit,42.336955,-83.052963,PizzaPapalis of Greektown,42.335415868368564,-83.04161606674332,Pizza Place,2
10,Detroit,42.336955,-83.052963,Parc,42.331564254238664,-83.0466995561501,American Restaurant,2
11,Detroit,42.336955,-83.052963,Mudgie's Deli,42.32913213821088,-83.06198103601014,Deli / Bodega,2
12,Detroit,42.336955,-83.052963,The Brooklyn Street Local,42.331656263514574,-83.06363957813072,Diner,2
13,Detroit,42.336955,-83.052963,Detroit Shipping Company,42.34409179397529,-83.06145774264824,Restaurant,2
14,Detroit,42.336955,-83.052963,Ottava Via,42.33168883361297,-83.0657273746393,Italian Restaurant,2
15,Detroit,42.336955,-83.052963,Sweetwater Tavern,42.331860789695504,-83.04183875404216,American Restaurant,2
16,Detroit,42.336955,-83.052963,The Peterboro,42.34435122445551,-83.06049458829733,Chinese Restaurant,2
17,Detroit,42.336955,-83.052963,The Apparatus Room,42.328113184733425,-83.04829867729079,Restaurant,2
18,Detroit,42.336955,-83.052963,Go Sy Thai,42.332993391476386,-83.04918674703508,Thai Restaurant,2
19,Detroit,42.336955,-83.052963,Pegasus Taverna,42.33522687671137,-83.04164964108155,Greek Restaurant,2
20,Detroit,42.336955,-83.052963,Supino Pizzeria,42.34543013321255,-83.03987963310321,Pizza Place,2
21,Detroit,42.336955,-83.052963,Lunchtime Global,42.33043599168094,-83.04502611157248,Deli / Bodega,2
22,Detroit,42.336955,-83.052963,Wala Urban,42.330871042433714,-83.05055278000101,American Restaurant,2
23,Detroit,42.336955,-83.052963,Redsmoke BBQ,42.33554651992322,-83.04125296679209,BBQ Joint,2
24,Detroit,42.336955,-83.052963,Selden Standard,42.34776220571407,-83.06470933190282,American Restaurant,2
25,Detroit,42.336955,-83.052963,Maru Sushi & Grill,42.330360267189945,-83.04826921057862,Japanese Restaurant,2
26,Detroit,42.336955,-83.052963,Jacoby's German Biergarten,42.33213242418268,-83.04207280270857,German Restaurant,2
27,Detroit,42.336955,-83.052963,Firebird Tavern,42.334701345719715,-83.04334527295445,New American Restaurant,2
28,Detroit,42.336955,-83.052963,The Block,42.34980632097912,-83.05985185736284,American Restaurant,2
29,Detroit,42.336955,-83.052963,Freshii,42.331569348129044,-83.04771331721646,Restaurant,2
30,Detroit,42.336955,-83.052963,Central Kitchen + Bar,42.33151808834313,-83.04596175336196,American Restaurant,2
31,Detroit,42.336955,-83.052963,Russell Street Deli,42.34553142763107,-83.03985170236339,Deli / Bodega,2
32,Detroit,42.336955,-83.052963,Niki's Pizza,42.33372692388057,-83.04167459496661,Pizza Place,2
33,Detroit,42.336955,-83.052963,La Lanterna,42.333013225108864,-83.04909634628555,Italian Restaurant,2
34,Detroit,42.336955,-83.052963,Honest John's Bar & No Grill,42.347690535531946,-83.06406853261642,American Restaurant,2
35,Detroit,42.336955,-83.052963,La Feria Spanish Tapas,42.350050859001705,-83.06310994660242,Tapas Restaurant,2
36,Detroit,42.336955,-83.052963,Slows To Go,42.349553579226615,-83.06322475255783,BBQ Joint,2
37,Detroit,42.336955,-83.052963,Mercury Burger & Bar,42.331244852201365,-83.07615866180554,Burger Joint,2
38,Detroit,42.336955,-83.052963,Slows Bar-B-Q,42.33156439301194,-83.07597458953973,BBQ Joint,2
39,Detroit,42.336955,-83.052963,Louie's Ham & Corned Beef,42.35328856333972,-83.04249439857142,Deli / Bodega,2
40,Detroit,42.336955,-83.052963,Bangkok Crossing,42.33050935802678,-83.0461183752352,Thai Restaurant,2
41,Detroit,42.336955,-83.052963,Pho Lucky,42.344397944581,-83.05607688934808,Vietnamese Restaurant,2
42,Detroit,42.336955,-83.052963,Seva,42.354902148171234,-83.0614884548672,Vegetarian / Vegan Restaurant,2
43,Detroit,42.336955,-83.052963,Green Dot Stables,42.321834296984626,-83.07142214701464,Burger Joint,2
44,Detroit,42.336955,-83.052963,Brome Modern Eatery,42.3292,-83.04825,Restaurant,2
45,Detroit,42.336955,-83.052963,Which Wich Superior Sandwiches,42.33041213734161,-83.04707898576922,Restaurant,2
46,Detroit,42.336955,-83.052963,Takoi,42.33164406856587,-83.08082747194446,Asian Restaurant,2
47,Detroit,42.336955,-83.052963,Midtown Shangri-La,42.35408689665738,-83.06540608606299,Chinese Restaurant,2
48,Detroit,42.336955,-83.052963,2941 Street Food,42.35189638955937,-83.06117253256333,Mediterranean Restaurant,2
49,Detroit,42.336955,-83.052963,Granite City Food & Brewery,42.329493338267206,-83.04121762388051,American Restaurant,2
50,Detroit,42.336955,-83.052963,Basil Court Restaurant,42.31718874054521,-83.03886088271638,Thai Restaurant,2
51,Detroit,42.336955,-83.052963,Mexican Village Restaurant,42.325439,-83.078011,Mexican Restaurant,2
52,Detroit,42.336955,-83.052963,Sala Thai,42.35052141336542,-83.04299081412269,Thai Restaurant,2
53,Detroit,42.336955,-83.052963,Marathon Ethiopian Restaurant,42.31740794794888,-83.03958954421962,Ethiopian Restaurant,2
54,Detroit,42.336955,-83.052963,Johnny Noodle King,42.318948804425226,-83.07442345829332,Noodle House,2
55,Detroit,42.336955,-83.052963,Bucharest Grill,42.33852721876679,-83.02076801482686,Mediterranean Restaurant,2
56,Detroit,42.336955,-83.052963,Cutter's Bar & Grill Eastern Market,42.34834853139318,-83.03779584616953,Burger Joint,2
57,Detroit,42.336955,-83.052963,Bubis,42.31595733339036,-83.04614611548082,Burger Joint,2
58,Detroit,42.336955,-83.052963,Bai Mai Thai,42.33850091173903,-83.03256247496681,Thai Restaurant,2
