,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Price
0,Lousville,38.251193,-85.759666,La Cocina de Mama,38.25033018920287,-85.75776810374715,Mexican Restaurant,1
1,Lousville,38.251193,-85.759666,Mussel & Burger Bar,38.25670200896358,-85.76152808532522,Burger Joint,1
2,Lousville,38.251193,-85.759666,Manhattan Grill,38.251436939555745,-85.75906084060571,Diner,1
3,Lousville,38.251193,-85.759666,Jimmy John's,38.25401336768967,-85.75769590544618,Sandwich Place,1
4,Lousville,38.251193,-85.759666,Zoup!,38.25321313353117,-85.75709616592096,Soup Place,1
5,Lousville,38.251193,-85.759666,Chick-Fil-A,38.249816,-85.752603,Fast Food Restaurant,1
6,Lousville,38.251193,-85.759666,Queue Cafe,38.255982500090774,-85.75468387913543,Café,1
7,Lousville,38.251193,-85.759666,J. Graham's Cafe,38.24661782354098,-85.75829276623053,Café,1
8,Lousville,38.251193,-85.759666,Luigi's Pizzeria,38.25721595881348,-85.76216639653522,Pizza Place,1
9,Lousville,38.251193,-85.759666,Chipotle Mexican Grill,38.2531778531652,-85.75698610274395,Mexican Restaurant,1
10,Lousville,38.251193,-85.759666,Bearno's By-The-Bridge,38.25644735810764,-85.75304925441742,Pizza Place,1
11,Lousville,38.251193,-85.759666,Chicken King,38.24514055272154,-85.74195761660982,Fast Food Restaurant,1
12,Lousville,38.251193,-85.759666,Royals Hot Chicken,38.25308160617469,-85.73860524155643,New American Restaurant,1
13,Lousville,38.251193,-85.759666,Panera Bread,38.2479963,-85.7467737,Sandwich Place,1
14,Lousville,38.251193,-85.759666,Grind Burger Kitchen,38.25361512390385,-85.73647104014807,Burger Joint,1
15,Lousville,38.251193,-85.759666,Ollie's Trolley,38.23893341658495,-85.75815367278142,Burger Joint,1
16,Lousville,38.251193,-85.759666,Orange Clover,38.273989580723324,-85.75074792904002,Café,1
17,Lousville,38.251193,-85.759666,Wiltshire pantry,38.2402723109178,-85.7311220136936,Bakery,1
18,Lousville,38.251193,-85.759666,Dizzy Whizz Drive-In,38.23735991862846,-85.75753416753841,Burger Joint,1
19,Lousville,38.251193,-85.759666,Pizza Donisi,38.22898642235275,-85.75803212315141,Pizza Place,1
20,Lousville,38.251193,-85.759666,Adrienne & Co.,38.27371393617277,-85.74320946352417,Bakery,1
21,Lousville,38.251193,-85.759666,Burger Boy,38.2265835599222,-85.7552444035824,Diner,1
22,Lousville,38.251193,-85.759666,Butchertown Pizza Hall,38.256173418360014,-85.72793391538188,Pizza Place,1
23,Lousville,38.251193,-85.759666,Papa John's Pizza,38.249673,-85.787063,Pizza Place,1
24,Lousville,38.251193,-85.759666,Indi's Fast Food Restaurant,38.247523028634276,-85.76973269830235,Wings Joint,1
25,Lousville,38.251193,-85.759666,Subway,38.26764194922053,-85.78259961815758,Sandwich Place,1
26,Lousville,38.251193,-85.759666,Wendy's,38.248015761265634,-85.77200308442116,Fast Food Restaurant,1
27,Lousville,38.251193,-85.759666,Rally's,38.25907174,-85.78935802,Fast Food Restaurant,1
28,Lousville,38.251193,-85.759666,KFC,38.2493849339042,-85.78383686248486,Fried Chicken Joint,1
29,Lousville,38.251193,-85.759666,McDonald's,38.2472058299359,-85.7721284776926,Fast Food Restaurant,1
30,Lousville,38.251193,-85.759666,KFC Yum! Center Food Trucks,38.23859385879393,-85.75276778823886,Food Truck,1
31,Lousville,38.251193,-85.759666,Rally's,38.24889737954343,-85.78794400503284,Fast Food Restaurant,1
32,Lousville,38.251193,-85.759666,North Lime Coffee And Donuts,38.234097,-85.76578,Donut Shop,1
33,Lousville,38.251193,-85.759666,Stop And Shop Food Mart,38.233193937150894,-85.75019882905957,Deli / Bodega,1
34,Lousville,38.251193,-85.759666,Bourbon Street Cafe,38.244843095901025,-85.7833735223948,Café,1
35,Lousville,38.251193,-85.759666,Chopsticks House,38.248797246919246,-85.78712940216064,Chinese Restaurant,1
36,Lousville,38.251193,-85.759666,Moby Dick Seafood Restaurants,38.258722,-85.788215,Fast Food Restaurant,1
37,Lousville,38.251193,-85.759666,Dad S Place Pizza,38.264392,-85.786777,Pizza Place,1
38,Lousville,38.251193,-85.759666,McDonald's,38.267339793888965,-85.78354865312582,Fast Food Restaurant,1
